Product_title,Product_description,Product_photo_filename,Price,Category
Nike TD Dunk Low White/Black,"Retro is Back Designed by Peter Moore, the Nike Dunk Low collection made its first appearance in 1985. This time the silhouette is back with some new designs while also reviving some of the old ones. The leather upper comes with perforations for extra breathability. It also features a rubber outsole with traction pattern designed specifically for quick motion on hardwood floors. The Zoom Air unit in the heel ensures ultimate comfort and ease in every step. Cop a pair now!",product_photos/Nike_TD_Dunk_Low_White_Black.jpg,$55.00,Shoes
Nike Court Borough Low Recraft Big Kids' Shoes - White/Pink Foam,"Run (don't walk) to your new favorite Borough—the Nike Court Borough. Made for the long haul, this ""recrafted"" legend uses a combination of durable materials on the upper and outsole to achieve a classic look made in a whole new way. A redesigned toe box and midfoot give your feet a little extra room so you can run, jump, and play just a bit longer and a little bit harder. Durable materials on the upper. Redesigned toe box. Low-profile shoe with classic laces. Flex grooves on the outsole. Made with at least 20% recycled content by weight.",product_photos/Nike_Court_Borough_Low_Recraft_Big_Kids'_Shoes_-_White_Pink_Foam.jpg,$67.00,Shoes
Nike PS Dunk Low White/Black,"The Nike Dunk Low Retro White Black (PS) sneakers combine iconic style with modern comfort. With its timeless white and black colorway, these sneakers are versatile and perfect for any occasion. The retro design pays homage to the original Nike Dunk, while the low-top silhouette offers a contemporary vibe. Crafted with premium materials, these sneakers provide durability and support. Whether you're hitting the skate park or strolling the streets, the Nike Dunk Low Retro White Black (PS) sneakers will elevate your footwear game.",product_photos/Nike_PS_Dunk_Low_White_Black.jpg,$69,Shoes
Nike GS Air Force 1 LV8 - White / Pink Foam 6Y,"Ageless StyleThe Boys' Nike Air Force 1 Low ensures that sneakerheads of all ages can enjoy the timeless style of the classic silhouette. An icon on the courts and the streets since its debut in 1982, the AF1 was the first basketball sneaker to utilize Air-sole cushioning. The shoe has transcended all trends and movements in the sneaker industry since, and remains an absolute essential for any collection. The boys' edition features the same celebrated look as the men's version, just sized down for the next generation. For the BoysWhile many releases of the Boys' Air Force 1 Low are sized-down versions of the men's colorways, boys also get their own exclusive color combinations and constructions of the silhouette. The Air Force 1 is one of the most versatile sneakers ever, and it's no stranger to a wide variety of looks and materials. From the classic white-on-white version to bold colors and prints, there's an Air Force 1 Low for everyone. Full-grain leather and/or synthetic upper. Classic Air Force 1 Low silhouette sized down for the younger sneakerheads. Select styles feature graphics and/or textured materials. Perforated toe panels for ventilation. Nike Air branding on tongue and heel. High-profile midsole for signature look. Air-sole cushioning in heel. Rubber outsole with iconic circular tread pattern for multi-surface traction and durability.",product_photos/Nike_GS_Air_Force_1_LV8_-_White___Pink_Foam_6Y.jpg,$90,Shoes
Nike (GS) Court Borough Low 2 White,"Light junior shoes from NIKE with lace-ups. The material of the upper part is Genuine leather - Full grain leather, eco leather - Eco leather. The inside of this model is made from textile. The insoles made from textile give great comfort. The sole is produced from high-quality material. Great proposition for the young ones.Product Details Real and synthetic leather are durable and easy to clean. Rubber sole creates durable traction. Colour Shown: WhiteNIKE ORIGINThe company was founded on January 25, 1964, as Blue Ribbon Sports, by Bill Bowerman and Phil Knight, and officially became Nike, Inc. on May 30, 1971. Nike sponsors many high-profile athletes and sports teams around the world wear the highly recognized trademarks of ""Just Do It"" and the Swoosh logo.",product_photos/Nike_(GS)_Court_Borough_Low_2_White.jpg,$45,Shoes
Nike Dunk Low Big Kids' Shoes - White/Mint Foam,"Whether you're a hooper, skater or just love kicks, the Dunk Low has been a long-time favorite for many athletes. Fresh colors bring the energy to the classic style, while the rubber sole gives grip and traction. It's time to play. Benefits Real and synthetic leather upper ages to soft perfection and features durable construction reminiscent of '80s b-ball. Foam midsole offers lightweight, responsive cushioning. Low-cut, padded collar looks sleek and feels comfortable. Rubber outsole with classic hoops pivot circle adds durability, traction and heritage style. Nike Dunk Born from a series of mash-ups, hacks and tight deadlines, the Nike Dunk landed on college basketball courts during the '85–'86 season. While the original College Colors designs helped you stay true to your school, the Dunk didn't prove to be popular. But it was this humble sneaker's lack of popularity—and flat, grippy soles—that helped it jump the rails to captivate skateboarders. Decades later, this everyday favorite continues to be snatched up in countless colorways, proving its influence is undeniable.",product_photos/Nike_Dunk_Low_Big_Kids'_Shoes_-_White_Mint_Foam.jpg,$74,Shoes
Nike Dunk Low Platinum Violet (GS),"Designed for basketball but adopted by skaters, the Nike Dunk Low helped define sneaker culture. Now this mid-'80s icon is an easy score for your closet. With ankle padding and durable rubber traction, these are a slam dunk whether you're learning to skate or getting ready for school. Made to Last Real and synthetic leather is durable and adds a classic feel. Heritage Look Collar and tongue pair with perforations on the toe area to give these sneakers an iconic look rooted in the original Dunk. All-Day Traction Full-length rubber outsole provides durable traction and features a traction pattern similar to the original. Product Details Classic laces Cupsole construction Nike Dunk Born from a series of mash-ups, hacks and tight deadlines, the Nike Dunk landed on college basketball courts during the '85–'86 season. While the original College Colors designs helped you stay true to your school, the Dunk didn't prove to be popular. But it was this humble sneaker's lack of popularity—and flat, grippy soles—that helped it jump the rails to captivate skateboarders. Decades later, this everyday favorite continues to be snatched up in countless colorways, proving its influence is undeniable.",product_photos/Nike_Dunk_Low_Platinum_Violet_(GS).jpg,$90.00,Shoes
Nike (GS) Dunk Low Sail/Sail/Light Armory Blue/White,"The Nike Dunk Low is an easy score for your closet. This mid-‘80s hoops icon returns with throwback hoops flair, durable leather and heritage Swoosh logo colors. Channeling vintage style back onto the streets, its ankle padding and rubber traction let you take your game anywhere—in comfort. Benefits Upper softens and gains vintage character with wear. Foam midsole offers lightweight, responsive cushioning. Rubber outsole with our classic pivot circle adds durable traction and heritage style. Product Details Classic laces Low-cut collar Foam insole Nike Dunk Born from a series of mash-ups, hacks and tight deadlines, the Nike Dunk landed on college basketball courts during the '85–'86 season. While the original College Colors designs helped you stay true to your school, the Dunk didn't prove to be popular. But it was this humble sneaker's lack of popularity—and flat, grippy soles—that helped it jump the rails to captivate skateboarders. Decades later, this everyday favorite continues to be snatched up in countless colorways, proving its influence is undeniable.",product_photos/Nike_(GS)_Dunk_Low_Sail_Sail_Light_Armory_Blue_White.jpg,$100,Shoes
Nike Court Borough Mid 2 Big Kids' Shoes,"Step up your kid's game with Nike's Kids' Court Borough Mid 2 Shoes, offering a stylish mid-Top design and superior comfort, perfect for on or off the court.Key FeaturesDurable leather upper for a premium look and feel. Soft foam midsole provides lightweight cushioning. Padded tongue and ankle for extra comfort. Cupsole construction for classic style. Grooves in the sole for flexibility. More DetailsSwoosh detailing adds sporty look. Traditional lace closure with Velcro strap for a secure and easy fit.",product_photos/Nike_Court_Borough_Mid_2_Big_Kids'_Shoes.jpg,$77.00,Shoes
Nike Air Max 90 Black White (PS),"The Nike Air Max 90 takes the original look to a new level with more comfort and flexibility, while keeping the classic Max Air cushioning you know and love. Classic Looks The '90s look has leather and synthetic leather to make it durable and easy to clean. Classic Air A Max Air unit provides the same lightweight cushioning as the original. Cushioned Comfort Padding around the ankle and soft foam cushioning combine for comfort that lasts.",product_photos/Nike_Air_Max_90_Black_White_(PS).jpg,$65.00,Shoes
"Men's Nike Zoom Vomero 5 Sp Sneaker, Size 11 M","The Nike Zoom Vomero 5 is getting another new colorway following the A-COLD-WALL* collaboration, and its dropping in a tonal Vast Grey theme. The stylish pair does not sport the large heel piece like on the ACW variation for a cleaner look, and the model is constructed of mesh and leather overlays along with a 3-D printed Air ventilation on the heel. Finally, matching Nike Air Zoom cushioning and black/white outsole tops off the design.","product_photos/Men's_Nike_Zoom_Vomero_5_Sp_Sneaker,_Size_11_M.jpg",$136,Shoes
Air Jordan 1 Mid SE PS 'Legend Pink',"Sparkling delight with every stride! Tickle your mini marvels pink with the Jordan AJ 1 Mid SE. Boasting a rosy colourway, these sneakers bring a dose of cuteness to your little boys’ every outfit, turning them into trendsetters in their playgroup. Featuring classic Jordan construction, the Jordan AJ 1 Mid SE keeps your little ones’ feet comfy, happy, and ready for all the fun. Jordan AJ 1 Mid SE features: Combination of leather, textiles, and synthetic materials in the upper offers a sturdy feel and durability. Classic laces ensure a snug fit. Solid rubber outsole provides ample traction.",product_photos/Air_Jordan_1_Mid_SE_PS_'Legend_Pink'.jpg,$72,Shoes
Nike Flex Control 4 Men's Training Shoes,"Push your performance with these men's Flex Control 4 runners from Nike. In a black colourway with white accents, these training essentials are made from a lightweight, abrasion resistent mesh upper with a synthetic midfoot strap for stability when running. With a full lacing system to keep you locked while you move, rubber stripes to the side of the forefoot bring support during side to side movements. Sat on a white responsive midsole, these creps feature a Nike Flex sole for a natural feel, while textured rubber tread keeps you gripped to the ground. Finished up with signature Swoosh branding to the sidewalls.",product_photos/Nike_Flex_Control_4_Men's_Training_Shoes.jpg,$65,Shoes
Nike Terminator Low 'University Blue' 12,"The Nike Terminator Low ‘University Blue’ features a classic two-tone University Blue and White color scheme. The shoe boasts a full leather build with toe box perforations for breathability, mesh tongues, and inner lining. University Blue overlays on the eyestay, toe, Swooshes, and heel tabs stand out against the White base. The tongue labels, insoles, Nike lettering on the heels, and rubber outsole also sport blue accents. Completing the design are clean White laces, Nike insole branding, heel overlay, and midsole.",product_photos/Nike_Terminator_Low_'University_Blue'_12.jpg,$90,Shoes
"Nike Waffle Debut Men's Shoes, Size: 9.5, White Black White","Elevate your style with the Nike Men's Waffle Debut Shoes, a contemporary take on the classic Nike Daybreak. These sleek sneakers blend retro aesthetics with modern design elements, featuring a combination of era-Reflecting suede and nylon in complementary hues. Textile upper with suede offers a eye-Catching detail. Lifted foam midsoles offer lightweight cushioning. Foam tongue enhances comfort. Lace closure for a secure fit. Padded collar for added comfort. Heel perforations for enhanced breathability. Rubber Waffle outsole delivers durable traction and heritage style.","product_photos/Nike_Waffle_Debut_Men's_Shoes,_Size__9.5,_White_Black_White.jpg",$79.96,Shoes
Nike Air Force 1 '07 LV8 (coconut Milk/Vintage Green/Bicoastal) 9.5,"Max nostalgia, max comfort! Relive the good old days with the Nike Air Force 1 07 LV8. Flaunting layers of canvas, synthetic leather, and velvet, these sneakers use a varsity-inspired aesthetic to give your everyday looks a preppy spin. The sockliner graphics are inspired by school yearbooks—and they’re signed to make your stroll down memory lane much more stylish. Rep a distinctive look that’s sure to leave the crowd captivated with the Nike Air Force 1 07 LV8. Nike Air Force 1 07 LV8 features: Durable upper with stitched overlays elevates the look. Padded, low-cut collar offers a comfortable feel. Foam midsole provides all-day comfort. Originally designed for performance hoops, the Nike Air cushioning brings lightweight, step-in comfort. Rubber outsole delivers superior traction and durability.",product_photos/Nike_Air_Force_1_'07_LV8_(coconut_Milk_Vintage_Green_Bicoastal)_9.5.jpg,$115,Shoes
Nike Dunk Low Retro SE Photon Dust Vintage Green,"The '80s b-ball icon returns with classic construction and throwback hoops flair. Channeling vintage style back onto the streets, its padded, low-cut collar lets you take your game anywhere—in comfort. Benefits Textured leather upper softens and gains vintage character with wear. Foam midsole offers lightweight, responsive cushioning. Rubber outsole with classic hoops pivot circle adds durability and traction. Product Details Foam midsole Rubber outsole Nike Dunk Born from a series of mash-ups, hacks and tight deadlines, the Nike Dunk landed on college basketball courts during the '85–'86 season. While the original College Colors designs helped you stay true to your school, the Dunk didn't prove to be popular. But it was this humble sneaker's lack of popularity—and flat, grippy soles—that helped it jump the rails to captivate skateboarders. Decades later, this everyday favorite continues to be snatched up in countless colorways, proving its influence is undeniable.",product_photos/Nike_Dunk_Low_Retro_SE_Photon_Dust_Vintage_Green.jpg,$100,Shoes
